num meas,ifft [m],phase slope [m],rtt [m]
0,93.993736,0.000000,97.028976
1,93.993736,0.000000,97.028976
2,94.057793,0.000000,96.887810
3,94.057793,0.000000,96.488647
4,94.057793,0.000000,96.488647
5,94.060020,0.000000,96.163696
6,93.859558,0.000000,95.933578
7,93.853767,0.000000,95.636261
8,93.954773,0.000000,95.816322
9,93.979530,0.000000,95.907402
10,93.989204,0.000000,95.796669
11,93.987595,0.000000,95.620255
12,94.086792,0.000000,95.534622
13,94.083252,0.000000,95.603775
14,94.039627,0.000000,95.440445
15,94.044456,0.000000,95.604004
16,94.009399,0.000000,95.630936
17,94.068993,0.000000,95.570908
18,94.200630,0.000000,95.777328
19,94.243080,0.000000,95.861748
20,94.083546,0.000000,95.603775
