meas num,rssi [dBm],distance [m]
0,-25,0.37
1,-27,0.42
2,-27,0.42
3,-25,0.37
4,-26,0.39
5,-25,0.37
6,-27,0.42
7,-25,0.37
8,-25,0.37
9,-27,0.42
10,-25,0.37
11,-25,0.37
12,-27,0.42
13,-25,0.37
14,-25,0.37
15,-27,0.42
16,-25,0.37
17,-25,0.37
18,-27,0.42
19,-25,0.37
20,-25,0.37
0,-43,1.21
1,-37,0.82
2,-40,1.00
3,-42,1.14
4,-38,0.87
5,-40,1.00
6,-43,1.21
7,-37,0.82
8,-39,0.93
9,-43,1.21
10,-37,0.82
11,-44,1.30
12,-38,0.87
13,-39,0.93
14,-43,1.21
15,-38,0.87
16,-41,1.06
17,-43,1.21
18,-37,0.82
19,-41,1.06
20,-44,1.30
0,-50,1.93
1,-54,2.51
2,-51,2.06
3,-57,3.05
4,-55,2.68
5,-51,2.06
6,-62,4.25
7,-54,2.51
8,-49,1.80
9,-62,4.25
10,-50,1.93
11,-64,4.84
12,-51,2.06
13,-49,1.80
14,-59,3.49
15,-51,2.06
16,-50,1.93
17,-62,4.25
18,-65,5.17
19,-52,2.20
20,-52,2.20
0,-49,1.80
1,-51,2.06
2,-50,1.93
3,-46,1.48
4,-46,1.48
5,-50,1.93
6,-50,1.93
7,-52,2.20
8,-46,1.48
9,-54,2.51
10,-45,1.38
11,-52,2.20
12,-48,1.69
13,-45,1.38
14,-45,1.38
15,-45,1.38
16,-54,2.51
17,-50,1.93
18,-45,1.38
19,-50,1.93
20,-47,1.58
0,-52,2.20
1,-55,2.68
2,-51,2.06
3,-47,1.58
4,-56,2.86
5,-51,2.06
6,-47,1.58
7,-57,3.05
8,-52,2.20
9,-48,1.69
10,-54,2.51
11,-53,2.35
12,-52,2.20
13,-48,1.69
14,-54,2.51
15,-53,2.35
16,-48,1.69
17,-48,1.69
18,-54,2.51
19,-50,1.93
20,-47,1.58
0,-45,1.38
1,-52,2.20
2,-57,3.05
3,-43,1.21
4,-56,2.86
5,-43,1.21
6,-51,2.06
7,-58,3.26
8,-43,1.21
9,-52,2.20
10,-57,3.05
11,-43,1.21
12,-52,2.20
13,-55,2.68
14,-44,1.30
15,-52,2.20
16,-55,2.68
17,-44,1.30
18,-52,2.20
19,-55,2.68
20,-52,2.20
0,-54,2.51
1,-51,2.06
2,-50,1.93
3,-50,1.93
4,-53,2.35
5,-52,2.20
6,-50,1.93
7,-56,2.86
8,-53,2.35
9,-52,2.20
10,-55,2.68
11,-54,2.51
12,-52,2.20
13,-55,2.68
14,-54,2.51
15,-52,2.20
16,-55,2.68
17,-54,2.51
18,-52,2.20
19,-50,1.93
20,-54,2.51
0,-51,2.06
1,-51,2.06
2,-52,2.20
3,-61,3.98
4,-53,2.35
5,-52,2.20
6,-60,3.72
7,-53,2.35
8,-52,2.20
9,-60,3.72
10,-54,2.51
11,-52,2.20
12,-61,3.98
13,-54,2.51
14,-54,2.51
15,-60,3.72
16,-52,2.20
17,-62,4.25
18,-53,2.35
19,-51,2.06
20,-57,3.05
0,-46,1.48
1,-46,1.48
2,-49,1.80
3,-52,2.20
4,-46,1.48
5,-48,1.69
6,-52,2.20
7,-52,2.20
8,-46,1.48
9,-48,1.69
10,-52,2.20
11,-46,1.48
12,-48,1.69
13,-45,1.38
14,-52,2.20
15,-46,1.48
16,-49,1.80
17,-52,2.20
18,-46,1.48
19,-48,1.69
20,-51,2.06
0,-47,1.58
1,-50,1.93
2,-53,2.35
3,-49,1.80
4,-49,1.80
5,-50,1.93
6,-49,1.80
7,-49,1.80
8,-53,2.35
9,-49,1.80
10,-49,1.80
11,-53,2.35
12,-50,1.93
13,-50,1.93
14,-50,1.93
15,-56,2.86
16,-49,1.80
17,-50,1.93
18,-58,3.26
19,-49,1.80
20,-50,1.93
0,-50,1.93
1,-52,2.20
2,-49,1.80
3,-49,1.80
4,-52,2.20
5,-52,2.20
6,-50,1.93
7,-51,2.06
8,-51,2.06
9,-50,1.93
10,-51,2.06
11,-51,2.06
12,-51,2.06
13,-52,2.20
14,-51,2.06
15,-48,1.69
16,-52,2.20
17,-51,2.06
18,-51,2.06
19,-52,2.20
20,-52,2.20
