num meas,ifft [m],phase_slope [m],rtt[m]
0,0.393484,0.997949,3.397648
1,0.402484,0.813455,3.401806
2,0.403915,0.763057,3.381047
3,0.403845,0.746412,3.441319
4,0.403991,0.711687,3.478306
5,0.408620,0.688763,3.474324
6,0.408497,0.663999,3.530390
7,0.407948,0.654201,3.574103
8,0.408261,0.654715,3.595677
9,0.408875,0.668930,3.632559
10,0.406155,0.647307,3.699654
11,0.406962,0.638654,3.657822
12,0.408873,0.613217,3.651321
13,0.410288,0.623945,3.574024
14,0.410017,0.638008,3.503007
15,0.412101,0.661704,3.479690
16,0.412237,0.705888,3.497041
17,0.411687,0.735398,3.465692
18,0.369195,0.706698,3.486556
19,0.369056,0.726687,3.476414
20,0.366229,0.718992,3.448015
0,1.431901,2.953516,3.441617
1,1.347849,2.571659,3.689136
2,1.333739,2.830071,3.586648
3,1.366163,3.074268,3.547098
4,1.380757,2.960652,3.549748
5,1.355224,2.771131,3.471685
6,1.328272,2.956531,3.346437
7,1.299970,2.890676,3.328778
8,1.298425,2.631222,3.313433
9,1.216994,2.556251,3.328893
10,1.249396,2.734652,3.458714
11,1.297472,2.619711,3.549377
12,1.315760,2.582294,3.617534
13,1.262074,2.663643,3.561684
14,1.336248,2.761744,3.608239
15,1.306771,2.822239,3.550212
16,1.287748,2.887384,3.470037
17,1.296605,2.940619,3.345214
18,1.315319,2.900630,3.425848
19,1.270420,3.044303,3.247583
20,1.299443,2.822427,3.225632
0,2.135106,5.845471,4.408967
1,2.205680,5.753317,4.893602
2,2.178396,5.362960,4.764132
3,2.178880,5.322113,4.299491
4,2.203259,5.542022,4.378620
5,2.171218,5.513191,4.266400
6,2.143794,5.584679,4.199700
7,2.165231,5.767900,4.319366
8,2.150331,5.828904,4.348538
9,2.095695,5.612316,4.496162
10,2.131730,5.610116,4.655450
11,2.087636,5.688592,4.467975
12,2.062167,5.744605,4.390505
13,2.100378,5.628537,4.839369
14,2.096255,5.868391,4.539183
15,2.071205,5.893286,4.475683
16,2.075125,5.833697,4.656009
17,2.061536,5.696754,4.671991
18,2.068844,5.842953,4.710013
19,1.933375,5.560127,4.944198
20,2.065920,5.438897,5.307376
0,3.220427,6.373120,4.816402
1,3.321056,6.230444,5.583492
2,3.341472,6.024960,5.597436
3,3.374711,5.894268,5.793691
4,3.420194,5.816130,6.072107
5,3.183976,5.762947,6.275391
6,3.208026,5.537678,6.379161
7,3.198434,5.517552,6.570098
8,3.190040,5.336276,6.558222
9,3.169492,5.349296,6.453355
10,3.418343,5.472259,6.497761
11,3.381421,5.670519,6.452641
12,3.377630,5.601995,6.293612
13,3.035774,6.022985,6.316823
14,2.991564,5.973401,6.246571
15,3.026859,6.145799,6.093497
16,3.034898,6.126435,6.059652
17,3.051532,6.119519,6.154437
18,3.362495,5.969821,6.134532
19,3.394889,5.983917,6.109868
20,3.365647,5.917893,6.147976
0,3.970548,13.276103,10.179064
1,3.794069,12.485660,7.636971
2,3.283119,11.939222,8.777177
3,3.114215,11.523856,8.602832
4,3.411825,11.423633,8.221542
5,3.519928,11.205138,7.715695
6,3.580859,10.975849,7.983110
7,3.858681,10.991210,7.307292
8,4.093868,11.510260,7.094661
9,4.003400,11.452369,7.265292
10,3.637421,11.524504,7.560390
11,3.220671,12.192174,7.742957
12,3.094722,12.767014,8.424503
13,3.029662,12.647978,8.399096
14,3.069693,12.998157,8.422853
15,3.197471,13.415670,7.949163
16,3.559214,13.472956,7.561579
17,3.500767,13.438581,6.704484
18,3.582949,13.143539,6.628254
19,3.133016,13.183426,6.319940
20,2.934772,13.319433,6.896886
0,5.655136,9.032459,9.151816
1,5.666168,10.234440,9.340945
2,5.666168,10.766783,9.858333
3,5.643549,10.995236,10.087365
4,5.643200,10.772828,9.939752
5,5.643200,10.947781,9.740171
6,5.648289,11.376542,9.476598
7,5.642181,11.193641,9.528769
8,5.686271,11.032938,9.018125
9,5.682624,11.109670,9.243859
10,5.682624,11.109670,9.243859
11,5.689654,10.997266,9.350154
12,5.696214,11.047884,9.598565
13,5.696214,11.047884,9.598565
14,5.718415,10.898044,10.012203
15,5.679487,10.992343,10.286984
16,5.679614,10.806356,10.413903
17,5.673631,10.836771,10.092668
18,5.673631,10.836771,10.092668
19,5.658611,10.896680,10.347892
20,5.658611,10.896680,10.347892
0,6.440854,12.309112,10.946667
1,6.169568,12.382266,10.481125
2,5.751103,12.342956,10.636541
3,5.739056,12.379593,10.120917
4,5.944181,12.328690,10.290701
5,5.555719,12.598131,9.869512
6,5.615683,12.346368,10.060933
7,5.686644,12.330414,9.430937
8,5.585154,12.163934,9.920041
9,4.343488,12.343545,9.739228
10,4.566816,12.042517,10.220276
11,4.119543,11.720227,9.955507
12,4.176014,11.634821,10.329677
13,4.262910,11.283251,9.831945
14,5.101943,11.156527,9.952329
15,5.350678,10.968660,9.849916
16,5.760899,11.415302,9.926256
17,5.950263,11.612783,10.092081
18,6.066390,12.050562,10.529736
19,6.183496,11.604476,10.462363
20,6.270713,11.313509,10.295952
0,7.368571,10.791242,9.319510
1,7.268640,10.477628,9.352143
2,6.351740,10.407640,9.637624
3,6.273594,10.219859,10.006175
4,6.522150,10.122801,9.943602
5,6.608661,9.956363,10.033411
6,6.634631,10.067872,10.257472
7,6.838291,9.899065,10.510025
8,6.827180,9.963955,10.452243
9,6.791004,9.869551,10.761119
10,6.018060,10.114785,10.692713
11,4.958228,9.877419,10.562401
12,5.229581,10.099037,10.393817
13,5.462584,10.171488,10.347979
14,5.497721,10.395590,10.036892
15,6.268162,10.221932,10.048899
16,7.325643,10.549911,10.212452
17,6.698294,10.419503,10.230356
18,6.446571,10.586392,10.039740
19,6.480631,10.432009,10.000599
20,6.531423,10.412554,10.003498
0,8.197450,13.181691,12.428894
1,8.295039,15.160151,12.316472
2,8.323187,13.917322,12.441121
3,8.400872,14.068481,12.376562
4,8.462626,14.149685,12.212416
5,8.377555,14.134397,12.227608
6,8.425451,13.836050,12.101413
7,8.462926,14.184131,12.016858
8,8.266292,13.751289,11.810580
9,8.228583,13.029778,11.747991
10,8.362207,13.634954,11.650001
11,8.226481,13.195124,11.882651
12,8.221816,12.956403,11.921845
13,8.319063,13.148211,11.955479
14,8.344208,13.791985,12.197207
15,8.321872,13.644231,12.119203
16,8.447531,13.945493,12.113554
17,8.492396,14.280455,12.066420
18,8.495516,14.072319,12.350288
19,8.479862,13.358507,12.025787
20,8.459123,12.423067,11.880383
0,9.661280,17.860897,26.732807
1,9.661281,17.575739,23.618254
2,9.485620,17.589006,24.670055
3,9.493986,18.300024,24.426479
4,9.433575,17.862993,23.714596
5,9.303455,18.351110,23.418154
6,9.270926,18.365250,23.090630
7,9.368514,18.419182,22.769651
8,9.517912,18.278927,22.754566
9,9.497431,17.965429,21.897873
10,9.539254,17.888212,22.662481
11,9.554506,17.498623,22.119274
12,9.554506,17.180346,22.673290
13,9.554506,17.180346,22.673290
14,9.350102,17.399191,23.100431
15,9.282364,17.236803,22.260174
16,9.429532,17.586617,22.207663
17,9.112170,17.447094,21.482220
18,8.155031,18.325733,22.785980
19,8.155031,18.325733,22.785980
20,8.408226,18.543299,23.392595
0,9.591722,20.512100,24.168560
1,9.407245,23.599924,22.448547
2,9.518028,23.863073,23.387554
3,9.544510,24.272635,23.188965
4,9.685664,24.619368,23.162119
5,9.712955,25.911152,22.730154
6,9.695685,25.962021,23.433167
7,9.696438,25.972107,23.732462
8,8.502481,26.431131,24.616579
9,8.424264,26.187265,25.628912
10,8.264545,25.514318,25.610592
11,8.391810,25.215923,24.973227
12,8.444556,26.017460,24.441776
13,9.797147,25.692026,23.395527
14,9.049346,25.972967,23.241291
15,9.146071,26.642527,22.665867
16,8.751282,26.470707,23.035406
17,9.111986,26.118856,22.850090
18,9.095179,24.763956,22.502735
19,9.885523,23.853382,22.263153
20,9.938444,22.433455,23.311380
